日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2017年01月,台南市,255417678,0.1265,258544271,0.1281,26957513,0.0134,1478160279,0.7321,2019079741,0.1277
2017年01月,高雄市,425962316,0.1914,445891655,0.2003,18651243,0.0084,1335459239,0.5999,2225964453,0.1408
2017年01月,宜蘭縣,59880891,0.2397,64498081,0.2581,4397589,0.0176,121072355,0.4846,249848916,0.0158
2017年01月,新竹縣,72451935,0.1009,75280421,0.1048,1393156,0.0019,569084666,0.7924,718210178,0.0454
2017年01月,苗栗縣,69793191,0.1279,66546177,0.122,1707172,0.0031,407554133,0.747,545600673,0.0345
2017年01月,彰化縣,157319801,0.1961,173680368,0.2165,31285394,0.039,439850244,0.5483,802135807,0.0507
2017年01月,南投縣,56829707,0.2761,56317083,0.2736,8275491,0.0402,84410282,0.4101,205832563,0.013
2017年01月,雲林縣,88132384,0.211,71462676,0.1711,25913610,0.0621,232114153,0.5558,417622823,0.0264
2017年01月,嘉義縣,63171354,0.3152,52637618,0.2627,16099515,0.0803,68497051,0.3418,200405538,0.0127
2017年01月,屏東縣,118911864,0.336,94056513,0.2657,56882742,0.1607,84100698,0.2376,353951817,0.0224
2017年01月,台東縣,26606811,0.3955,28719035,0.4269,2056585,0.0306,9892645,0.147,67275076,0.0043
2017年01月,花蓮縣,42312846,0.2251,59596528,0.317,2182001,0.0116,83895790,0.4463,187987165,0.0119
2017年01月,基隆市,44275768,0.4311,41987635,0.4088,7922,0.0001,16426568,0.16,102697893,0.0065
2017年01月,新竹市,66900836,0.0848,91854989,0.1165,618974,0.0008,629300010,0.7979,788674809,0.0499
2017年01月,嘉義市,35641445,0.41,44581346,0.5128,437631,0.005,6277045,0.0722,86937467,0.0055
2017年01月,澎湖縣,12761895,0.4012,15350161,0.4825,378115,0.0119,3322327,0.1044,31812498,0.002
2017年01月,金門縣,8644206,0.3987,10998792,0.5072,202629,0.0093,1837977,0.0848,21683604,0.0014
2017年01月,連江縣,2957067,0.4021,3902931,0.5307,30918,0.0042,463742,0.0631,7354658,0.0005
